mnemonic,arg_position,arg_name,arg_type
CMD_EPS_PWR_ON,0,channel,uint8
CMD_EPS_PWR_ON,1,mode,ENUM_PWR_MODE
CMD_EPS_PWR_OFF,0,channel,uint8
CMD_EPS_BATT_TRICKLE,0,rate_ma,uint16
CMD_EPS_SOLAR_DEPLOY,0,array_id,uint8
CMD_EPS_SOLAR_STOW,0,array_id,uint8
CMD_ADCS_MODE_SET,0,mode,ENUM_ADCS_MODE
CMD_ADCS_RW_SPIN,0,wheel_id,uint8
CMD_ADCS_RW_SPIN,1,rpm,int16
CMD_ADCS_RW_STOP,0,wheel_id,uint8
CMD_ADCS_MTQ_FIRE,0,axis,ENUM_MTQ_AXIS
CMD_ADCS_MTQ_FIRE,1,duration_s,uint16
CMD_ADCS_STAR_TRACK,0,tracker_id,uint8
CMD_ADCS_ATT_SLEW,0,quat_x,float32
CMD_ADCS_ATT_SLEW,1,quat_y,float32
CMD_ADCS_ATT_SLEW,2,quat_z,float32
CMD_ADCS_ATT_SLEW,3,quat_w,float32
CMD_COMM_TX_ENABLE,0,band,ENUM_RF_BAND
CMD_COMM_TX_DISABLE,0,band,ENUM_RF_BAND
CMD_COMM_TX_POWER,0,dbm,int8
CMD_COMM_DUMP_START,0,vc_id,uint8
CMD_COMM_DUMP_STOP,0,vc_id,uint8
CMD_CDH_TIME_SYNC,0,epoch_s,uint32
CMD_CDH_FILE_DELETE,0,path,string
CMD_CDH_MEM_DUMP,0,addr,uint32
CMD_CDH_MEM_DUMP,1,len,uint16
CMD_CDH_MEM_PATCH,0,addr,uint32
CMD_CDH_MEM_PATCH,1,data,bytes
CMD_THERMAL_HTR_ON,0,heater_id,uint8
CMD_THERMAL_HTR_OFF,0,heater_id,uint8
CMD_THERMAL_HTR_AUTO,0,heater_id,uint8
CMD_PAYLOAD_IMG_CAPTURE,0,integration_ms,uint16
CMD_PAYLOAD_IMG_CAPTURE,1,filter,ENUM_FILTER
CMD_PAYLOAD_INST_CAL,0,cal_mode,ENUM_CAL_MODE
CMD_PROP_VALVE_OPEN,0,valve_id,uint8
CMD_PROP_VALVE_CLOSE,0,valve_id,uint8
CMD_PROP_BURN_EXEC,0,delta_v_ms,float32
CMD_PROP_BURN_EXEC,1,duration_s,uint16
CMD_EPS_PWR_ON_001,0,channel,uint8
CMD_EPS_PWR_ON_001,1,mode,ENUM_PWR_MODE
CMD_EPS_PWR_OFF_001,0,channel,uint8
CMD_EPS_BATT_TRICKLE_001,0,rate_ma,uint16
CMD_EPS_SOLAR_DEPLOY_001,0,array_id,uint8
CMD_EPS_SOLAR_STOW_001,0,array_id,uint8
CMD_ADCS_MODE_SET_001,0,mode,ENUM_ADCS_MODE
CMD_ADCS_RW_SPIN_001,0,wheel_id,uint8
CMD_ADCS_RW_SPIN_001,1,rpm,int16
CMD_ADCS_RW_STOP_001,0,wheel_id,uint8
CMD_ADCS_MTQ_FIRE_001,0,axis,ENUM_MTQ_AXIS
CMD_ADCS_MTQ_FIRE_001,1,duration_s,uint16
CMD_ADCS_STAR_TRACK_001,0,tracker_id,uint8
CMD_ADCS_ATT_SLEW_001,0,quat_x,float32
CMD_ADCS_ATT_SLEW_001,1,quat_y,float32
CMD_ADCS_ATT_SLEW_001,2,quat_z,float32
CMD_ADCS_ATT_SLEW_001,3,quat_w,float32
CMD_COMM_TX_ENABLE_001,0,band,ENUM_RF_BAND
CMD_COMM_TX_DISABLE_001,0,band,ENUM_RF_BAND
CMD_COMM_TX_POWER_001,0,dbm,int8
CMD_COMM_DUMP_START_001,0,vc_id,uint8
CMD_COMM_DUMP_STOP_001,0,vc_id,uint8
CMD_CDH_TIME_SYNC_001,0,epoch_s,uint32
CMD_CDH_FILE_DELETE_001,0,path,string
CMD_CDH_MEM_DUMP_001,0,addr,uint32
CMD_CDH_MEM_DUMP_001,1,len,uint16
CMD_CDH_MEM_PATCH_001,0,addr,uint32
CMD_CDH_MEM_PATCH_001,1,data,bytes
CMD_THERMAL_HTR_ON_001,0,heater_id,uint8
CMD_THERMAL_HTR_OFF_001,0,heater_id,uint8
CMD_THERMAL_HTR_AUTO_001,0,heater_id,uint8
CMD_PAYLOAD_IMG_CAPTURE_001,0,integration_ms,uint16
CMD_PAYLOAD_IMG_CAPTURE_001,1,filter,ENUM_FILTER
CMD_PAYLOAD_INST_CAL_001,0,cal_mode,ENUM_CAL_MODE
CMD_EPS_PWR_ON_002,0,channel,uint8
CMD_EPS_PWR_ON_002,1,mode,ENUM_PWR_MODE
CMD_EPS_PWR_OFF_002,0,channel,uint8
CMD_EPS_BATT_TRICKLE_002,0,rate_ma,uint16
CMD_EPS_SOLAR_DEPLOY_002,0,array_id,uint8
CMD_EPS_SOLAR_STOW_002,0,array_id,uint8
CMD_ADCS_MODE_SET_002,0,mode,ENUM_ADCS_MODE
CMD_ADCS_RW_SPIN_002,0,wheel_id,uint8
CMD_ADCS_RW_SPIN_002,1,rpm,int16
CMD_ADCS_RW_STOP_002,0,wheel_id,uint8
CMD_ADCS_MTQ_FIRE_002,0,axis,ENUM_MTQ_AXIS
CMD_ADCS_MTQ_FIRE_002,1,duration_s,uint16
CMD_ADCS_STAR_TRACK_002,0,tracker_id,uint8
CMD_ADCS_ATT_SLEW_002,0,quat_x,float32
CMD_ADCS_ATT_SLEW_002,1,quat_y,float32
CMD_ADCS_ATT_SLEW_002,2,quat_z,float32
CMD_ADCS_ATT_SLEW_002,3,quat_w,float32
CMD_COMM_TX_ENABLE_002,0,band,ENUM_RF_BAND
CMD_COMM_TX_DISABLE_002,0,band,ENUM_RF_BAND
CMD_COMM_TX_POWER_002,0,dbm,int8
CMD_COMM_DUMP_START_002,0,vc_id,uint8
CMD_COMM_DUMP_STOP_002,0,vc_id,uint8
CMD_CDH_TIME_SYNC_002,0,epoch_s,uint32
CMD_CDH_FILE_DELETE_002,0,path,string
CMD_CDH_MEM_DUMP_002,0,addr,uint32
CMD_CDH_MEM_DUMP_002,1,len,uint16
CMD_CDH_MEM_PATCH_002,0,addr,uint32
CMD_CDH_MEM_PATCH_002,1,data,bytes
CMD_THERMAL_HTR_ON_002,0,heater_id,uint8
CMD_THERMAL_HTR_OFF_002,0,heater_id,uint8
CMD_THERMAL_HTR_AUTO_002,0,heater_id,uint8
CMD_PAYLOAD_IMG_CAPTURE_002,0,integration_ms,uint16
CMD_PAYLOAD_IMG_CAPTURE_002,1,filter,ENUM_FILTER
CMD_PAYLOAD_INST_CAL_002,0,cal_mode,ENUM_CAL_MODE
CMD_EPS_PWR_ON_003,0,channel,uint8
CMD_EPS_PWR_ON_003,1,mode,ENUM_PWR_MODE
CMD_EPS_PWR_OFF_003,0,channel,uint8
CMD_EPS_BATT_TRICKLE_003,0,rate_ma,uint16
CMD_EPS_SOLAR_DEPLOY_003,0,array_id,uint8
CMD_EPS_SOLAR_STOW_003,0,array_id,uint8
CMD_ADCS_MODE_SET_003,0,mode,ENUM_ADCS_MODE
CMD_ADCS_RW_SPIN_003,0,wheel_id,uint8
CMD_ADCS_RW_SPIN_003,1,rpm,int16
CMD_ADCS_RW_STOP_003,0,wheel_id,uint8
CMD_ADCS_MTQ_FIRE_003,0,axis,ENUM_MTQ_AXIS
CMD_ADCS_MTQ_FIRE_003,1,duration_s,uint16
CMD_ADCS_STAR_TRACK_003,0,tracker_id,uint8
CMD_ADCS_ATT_SLEW_003,0,quat_x,float32
CMD_ADCS_ATT_SLEW_003,1,quat_y,float32
CMD_ADCS_ATT_SLEW_003,2,quat_z,float32
CMD_ADCS_ATT_SLEW_003,3,quat_w,float32
CMD_COMM_TX_ENABLE_003,0,band,ENUM_RF_BAND
CMD_COMM_TX_DISABLE_003,0,band,ENUM_RF_BAND
CMD_COMM_TX_POWER_003,0,dbm,int8
CMD_COMM_DUMP_START_003,0,vc_id,uint8
CMD_COMM_DUMP_STOP_003,0,vc_id,uint8
CMD_CDH_TIME_SYNC_003,0,epoch_s,uint32
CMD_CDH_FILE_DELETE_003,0,path,string
CMD_CDH_MEM_DUMP_003,0,addr,uint32
CMD_CDH_MEM_DUMP_003,1,len,uint16
CMD_CDH_MEM_PATCH_003,0,addr,uint32
CMD_CDH_MEM_PATCH_003,1,data,bytes
CMD_THERMAL_HTR_ON_003,0,heater_id,uint8
CMD_THERMAL_HTR_OFF_003,0,heater_id,uint8
CMD_THERMAL_HTR_AUTO_003,0,heater_id,uint8
CMD_PAYLOAD_IMG_CAPTURE_003,0,integration_ms,uint16
CMD_PAYLOAD_IMG_CAPTURE_003,1,filter,ENUM_FILTER
CMD_PAYLOAD_INST_CAL_003,0,cal_mode,ENUM_CAL_MODE
CMD_EPS_PWR_ON_004,0,channel,uint8
CMD_EPS_PWR_ON_004,1,mode,ENUM_PWR_MODE
CMD_EPS_PWR_OFF_004,0,channel,uint8
CMD_EPS_BATT_TRICKLE_004,0,rate_ma,uint16
CMD_EPS_SOLAR_DEPLOY_004,0,array_id,uint8
CMD_EPS_SOLAR_STOW_004,0,array_id,uint8
CMD_ADCS_MODE_SET_004,0,mode,ENUM_ADCS_MODE
CMD_ADCS_RW_SPIN_004,0,wheel_id,uint8
CMD_ADCS_RW_SPIN_004,1,rpm,int16
CMD_ADCS_RW_STOP_004,0,wheel_id,uint8
CMD_ADCS_MTQ_FIRE_004,0,axis,ENUM_MTQ_AXIS
CMD_ADCS_MTQ_FIRE_004,1,duration_s,uint16
CMD_ADCS_STAR_TRACK_004,0,tracker_id,uint8
CMD_ADCS_ATT_SLEW_004,0,quat_x,float32
CMD_ADCS_ATT_SLEW_004,1,quat_y,float32
CMD_ADCS_ATT_SLEW_004,2,quat_z,float32
CMD_ADCS_ATT_SLEW_004,3,quat_w,float32
CMD_COMM_TX_ENABLE_004,0,band,ENUM_RF_BAND
CMD_COMM_TX_DISABLE_004,0,band,ENUM_RF_BAND
CMD_COMM_TX_POWER_004,0,dbm,int8
CMD_COMM_DUMP_START_004,0,vc_id,uint8
CMD_COMM_DUMP_STOP_004,0,vc_id,uint8
CMD_CDH_TIME_SYNC_004,0,epoch_s,uint32
CMD_CDH_FILE_DELETE_004,0,path,string
CMD_CDH_MEM_DUMP_004,0,addr,uint32
CMD_CDH_MEM_DUMP_004,1,len,uint16
CMD_CDH_MEM_PATCH_004,0,addr,uint32
CMD_CDH_MEM_PATCH_004,1,data,bytes
CMD_THERMAL_HTR_ON_004,0,heater_id,uint8
CMD_THERMAL_HTR_OFF_004,0,heater_id,uint8
CMD_THERMAL_HTR_AUTO_004,0,heater_id,uint8
CMD_PAYLOAD_IMG_CAPTURE_004,0,integration_ms,uint16
CMD_PAYLOAD_IMG_CAPTURE_004,1,filter,ENUM_FILTER
CMD_PAYLOAD_INST_CAL_004,0,cal_mode,ENUM_CAL_MODE
CMD_EPS_PWR_ON_005,0,channel,uint8
CMD_EPS_PWR_ON_005,1,mode,ENUM_PWR_MODE
CMD_EPS_PWR_OFF_005,0,channel,uint8
CMD_EPS_BATT_TRICKLE_005,0,rate_ma,uint16
CMD_EPS_SOLAR_DEPLOY_005,0,array_id,uint8
CMD_EPS_SOLAR_STOW_005,0,array_id,uint8
CMD_ADCS_MODE_SET_005,0,mode,ENUM_ADCS_MODE
CMD_ADCS_RW_SPIN_005,0,wheel_id,uint8
CMD_ADCS_RW_SPIN_005,1,rpm,int16
CMD_ADCS_RW_STOP_005,0,wheel_id,uint8
CMD_ADCS_MTQ_FIRE_005,0,axis,ENUM_MTQ_AXIS
CMD_ADCS_MTQ_FIRE_005,1,duration_s,uint16
CMD_ADCS_STAR_TRACK_005,0,tracker_id,uint8
CMD_ADCS_ATT_SLEW_005,0,quat_x,float32
CMD_ADCS_ATT_SLEW_005,1,quat_y,float32
CMD_ADCS_ATT_SLEW_005,2,quat_z,float32
CMD_ADCS_ATT_SLEW_005,3,quat_w,float32
CMD_COMM_TX_ENABLE_005,0,band,ENUM_RF_BAND
CMD_COMM_TX_DISABLE_005,0,band,ENUM_RF_BAND
CMD_COMM_TX_POWER_005,0,dbm,int8
CMD_COMM_DUMP_START_005,0,vc_id,uint8
CMD_COMM_DUMP_STOP_005,0,vc_id,uint8
CMD_CDH_TIME_SYNC_005,0,epoch_s,uint32
CMD_CDH_FILE_DELETE_005,0,path,string
