alert_id,type,severity,watched_telemetry,condition,description,fdir_id,page,fsw_min_version,owner,created,updated,ack_required,auto_clear,notes
ALT_EPS_001,threshold,WARNING,TLM_EPS_BATT_V,value < 24.5,Battery voltage low,FDIR_EPS_001,EPS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,
ALT_EPS_002,threshold,CRITICAL,TLM_EPS_BATT_V,value < 22.0,Battery voltage critically low,FDIR_EPS_002,EPS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,yes,yes,
ALT_EPS_003,threshold,WARNING,TLM_EPS_BATT_TEMP,value > 45.0,Battery temperature high,FDIR_EPS_003,EPS_THERMAL,1.0,ops-team,2024-01-15,2024-09-01,no,yes,
ALT_EPS_004,threshold,WARNING,TLM_EPS_BATT_SOC,value < 30.0,Battery state of charge low,FDIR_EPS_001,EPS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,
ALT_EPS_005,rule,CRITICAL,TLM_EPS_FAULT_FLAGS,bit(OVER_V) == 1,EPS overvoltage fault flag set,FDIR_EPS_004,EPS_FAULTS,1.0,ops-team,2024-01-15,2024-09-01,yes,yes,
ALT_EPS_006,rule,CRITICAL,TLM_EPS_FAULT_FLAGS,bit(BMS_FAULT) == 1,Battery management system fault,FDIR_EPS_002,EPS_FAULTS,1.0,ops-team,2024-01-15,2024-09-01,yes,yes,
ALT_EPS_007,derived,WARNING,"TLM_EPS_BATT_V,TLM_EPS_BATT_I",TLM_EPS_BATT_V * TLM_EPS_BATT_I < 50,Battery delivering insufficient power,FDIR_EPS_001,EPS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,
ALT_ADCS_001,rule,CRITICAL,TLM_ADCS_MODE,value == SAFE,ADCS in SAFE mode,FDIR_ADCS_001,ADCS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,yes,yes,
ALT_ADCS_002,threshold,WARNING,TLM_ADCS_RATE_X,abs(value) > 2.0,Body rate X exceeds nominal,FDIR_ADCS_002,ADCS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,
ALT_ADCS_003,threshold,WARNING,TLM_ADCS_RATE_Y,abs(value) > 2.0,Body rate Y exceeds nominal,FDIR_ADCS_002,ADCS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,
ALT_ADCS_004,threshold,WARNING,TLM_ADCS_RATE_Z,abs(value) > 2.0,Body rate Z exceeds nominal,FDIR_ADCS_002,ADCS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,
ALT_ADCS_005,threshold,CRITICAL,TLM_ADCS_RW1_RPM,abs(value) > 6000,Reaction wheel 1 saturating,FDIR_ADCS_003,ADCS_RW,1.0,ops-team,2024-01-15,2024-09-01,yes,yes,
ALT_ADCS_006,threshold,CRITICAL,TLM_ADCS_RW2_RPM,abs(value) > 6000,Reaction wheel 2 saturating,FDIR_ADCS_003,ADCS_RW,1.0,ops-team,2024-01-15,2024-09-01,yes,yes,
ALT_ADCS_007,rule,WARNING,TLM_ADCS_STAR_LOCK,value != LOCKED,Star tracker not locked,FDIR_ADCS_004,ADCS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,
ALT_COMM_001,threshold,WARNING,TLM_COMM_RX_RSSI,value < -120,Receiver signal strength low,FDIR_COMM_001,COMM_LINK,1.0,ops-team,2024-01-15,2024-09-01,no,yes,
ALT_COMM_002,threshold,WARNING,TLM_COMM_BIT_ERR_RATE,value > 1e-5,Bit error rate exceeds threshold,FDIR_COMM_002,COMM_LINK,1.0,ops-team,2024-01-15,2024-09-01,no,yes,
ALT_COMM_003,rule,WARNING,TLM_COMM_LOCK,value != LOCKED,Carrier lock lost,FDIR_COMM_001,COMM_LINK,1.0,ops-team,2024-01-15,2024-09-01,no,yes,
ALT_CDH_001,threshold,WARNING,TLM_CDH_CPU_LOAD,value > 80,CPU load high,FDIR_CDH_001,CDH_HEALTH,1.0,ops-team,2024-01-15,2024-09-01,no,yes,
ALT_CDH_002,threshold,CRITICAL,TLM_CDH_CPU_LOAD,value > 95,CPU load critical,FDIR_CDH_001,CDH_HEALTH,1.0,ops-team,2024-01-15,2024-09-01,yes,yes,
ALT_CDH_003,threshold,WARNING,TLM_CDH_MEM_FREE,value < 1048576,Free memory low,FDIR_CDH_002,CDH_HEALTH,1.0,ops-team,2024-01-15,2024-09-01,no,yes,
ALT_CDH_004,rule,CRITICAL,TLM_CDH_FAULT_FLAGS,bit(WD_RESET) == 1,Watchdog reset detected,FDIR_CDH_003,CDH_FAULTS,1.0,ops-team,2024-01-15,2024-09-01,yes,yes,
ALT_CDH_005,rule,CRITICAL,TLM_CDH_FAULT_FLAGS,bit(MEM_ECC) == 1,Memory ECC error,FDIR_CDH_004,CDH_FAULTS,1.0,ops-team,2024-01-15,2024-09-01,yes,yes,
ALT_THM_001,threshold,WARNING,TLM_THERMAL_BUS_TEMP,value > 50.0,Bus temperature high,FDIR_THM_001,THERMAL_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,
ALT_THM_002,threshold,WARNING,TLM_THERMAL_BUS_TEMP,value < -10.0,Bus temperature low,FDIR_THM_002,THERMAL_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,
ALT_THM_003,threshold,CRITICAL,TLM_THERMAL_RAD_TEMP,value > 80.0,Radiator temperature critical,FDIR_THM_001,THERMAL_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,yes,yes,
ALT_PAY_001,threshold,WARNING,TLM_PAYLOAD_INST_TEMP,value > 25.0,Instrument detector temperature high,FDIR_PAY_001,PAYLOAD_HEALTH,1.0,ops-team,2024-01-15,2024-09-01,no,yes,
ALT_PAY_002,rule,WARNING,TLM_PAYLOAD_INST_STATE,value == FAULT,Instrument in FAULT state,FDIR_PAY_002,PAYLOAD_HEALTH,1.0,ops-team,2024-01-15,2024-09-01,no,yes,
ALT_PAY_003,threshold,WARNING,TLM_PAYLOAD_BUFFER_PCT,value > 90,Image buffer near full,FDIR_PAY_003,PAYLOAD_DATA,1.0,ops-team,2024-01-15,2024-09-01,no,yes,
ALT_PROP_001,threshold,CRITICAL,TLM_PROP_TANK_P,value > 2200,Propellant tank overpressure,FDIR_PROP_001,PROP_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,yes,yes,
ALT_PROP_002,threshold,WARNING,TLM_PROP_TANK_P,value < 800,Propellant tank pressure low,FDIR_PROP_002,PROP_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,
ALT_PROP_003,threshold,WARNING,TLM_PROP_TANK_T,value < 5.0,Propellant temperature near freezing,FDIR_PROP_003,PROP_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,
ALT_EPS_008,derived,WARNING,"TLM_EPS_BATT_V,TLM_EPS_BATT_TEMP",value(TLM_EPS_BATT_V) < 25.0 and value(TLM_EPS_BATT_TEMP) > 40,Hot battery under load,FDIR_EPS_001,EPS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,
ALT_THERMAL_AUX_0032,threshold,WARNING,TLM_THERMAL_AUX_00,value > 1000,THERMAL auxiliary 0 out of range,FDIR_THM_001,THERMAL_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_PAYLOAD_AUX_0033,threshold,WARNING,TLM_PAYLOAD_AUX_01,value > 1000,PAYLOAD auxiliary 1 out of range,FDIR_PAY_001,PAYLOAD_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_PROP_AUX_0034,threshold,WARNING,TLM_PROP_AUX_02,value > 1000,PROP auxiliary 2 out of range,FDIR_PROP_001,PROP_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_EPS_AUX_0035,threshold,WARNING,TLM_EPS_AUX_03,value > 1000,EPS auxiliary 3 out of range,FDIR_EPS_001,EPS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_ADCS_AUX_0036,threshold,WARNING,TLM_ADCS_AUX_04,value > 1000,ADCS auxiliary 4 out of range,FDIR_ADCS_001,ADCS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_COMM_AUX_0037,threshold,WARNING,TLM_COMM_AUX_05,value > 1000,COMM auxiliary 5 out of range,FDIR_COMM_001,COMM_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_CDH_AUX_0038,threshold,WARNING,TLM_CDH_AUX_06,value > 1000,CDH auxiliary 6 out of range,FDIR_CDH_001,CDH_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_THERMAL_AUX_0039,threshold,WARNING,TLM_THERMAL_AUX_07,value > 1000,THERMAL auxiliary 7 out of range,FDIR_THM_001,THERMAL_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_PAYLOAD_AUX_0040,threshold,WARNING,TLM_PAYLOAD_AUX_08,value > 1000,PAYLOAD auxiliary 8 out of range,FDIR_PAY_001,PAYLOAD_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_PROP_AUX_0041,threshold,WARNING,TLM_PROP_AUX_09,value > 1000,PROP auxiliary 9 out of range,FDIR_PROP_001,PROP_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_EPS_AUX_0042,threshold,WARNING,TLM_EPS_AUX_10,value > 1000,EPS auxiliary 10 out of range,FDIR_EPS_001,EPS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_ADCS_AUX_0043,threshold,WARNING,TLM_ADCS_AUX_11,value > 1000,ADCS auxiliary 11 out of range,FDIR_ADCS_001,ADCS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_COMM_AUX_0044,threshold,WARNING,TLM_COMM_AUX_12,value > 1000,COMM auxiliary 12 out of range,FDIR_COMM_001,COMM_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_CDH_AUX_0045,threshold,WARNING,TLM_CDH_AUX_13,value > 1000,CDH auxiliary 13 out of range,FDIR_CDH_001,CDH_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_THERMAL_AUX_0046,threshold,WARNING,TLM_THERMAL_AUX_14,value > 1000,THERMAL auxiliary 14 out of range,FDIR_THM_001,THERMAL_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
