mnemonic,opcode,subsystem,criticality,description,fsw_min_version
CMD_EPS_PWR_ON,0x1000,EPS,NOMINAL,Enable power channel in specified mode,1.0
CMD_EPS_PWR_OFF,0x1001,EPS,HAZARDOUS,Disable power channel,1.0
CMD_EPS_BATT_TRICKLE,0x1002,EPS,NOMINAL,Set battery trickle charge rate,1.0
CMD_EPS_BATT_RESET,0x1003,EPS,NOMINAL,Reset battery management controller,1.0
CMD_EPS_SOLAR_DEPLOY,0x1004,EPS,NOMINAL,Deploy solar array,1.0
CMD_EPS_SOLAR_STOW,0x1005,EPS,CRITICAL,Stow solar array,1.0
CMD_ADCS_MODE_SET,0x1006,ADCS,NOMINAL,Set ADCS control mode,1.0
CMD_ADCS_MODE_SAFE,0x1007,ADCS,NOMINAL,Command ADCS into SAFE mode,1.0
CMD_ADCS_RW_SPIN,0x1008,ADCS,HAZARDOUS,Spin reaction wheel to commanded RPM,1.0
CMD_ADCS_RW_STOP,0x1009,ADCS,CRITICAL,Stop reaction wheel,1.0
CMD_ADCS_MTQ_FIRE,0x100A,ADCS,NOMINAL,Fire magnetorquer along axis,1.0
CMD_ADCS_STAR_TRACK,0x100B,ADCS,HAZARDOUS,Begin star tracker tracking,1.0
CMD_ADCS_ATT_SLEW,0x100C,ADCS,NOMINAL,Slew to commanded inertial attitude quaternion,1.0
CMD_COMM_TX_ENABLE,0x100D,COMM,CRITICAL,Enable transmitter on band,1.0
CMD_COMM_TX_DISABLE,0x100E,COMM,NOMINAL,Disable transmitter on band,1.0
CMD_COMM_TX_POWER,0x100F,COMM,CRITICAL,Set transmitter output power,1.0
CMD_COMM_DUMP_START,0x1010,COMM,NOMINAL,Start virtual-channel data dump,1.0
CMD_COMM_DUMP_STOP,0x1011,COMM,CRITICAL,Stop virtual-channel data dump,1.0
CMD_CDH_BOOT_WARM,0x1012,CDH,NOMINAL,Warm reboot of flight processor,1.0
CMD_CDH_BOOT_COLD,0x1013,CDH,NOMINAL,Cold reboot of flight processor,1.0
CMD_CDH_TIME_SYNC,0x1014,CDH,NOMINAL,Sync onboard clock to ground epoch,1.0
CMD_CDH_FILE_DELETE,0x1015,CDH,NOMINAL,Delete onboard file by path,1.0
CMD_CDH_MEM_DUMP,0x1016,CDH,NOMINAL,Dump memory region,1.0
CMD_CDH_MEM_PATCH,0x1017,CDH,NOMINAL,Patch memory region,1.0
CMD_THERMAL_HTR_ON,0x1018,THERMAL,NOMINAL,Turn on heater zone,1.0
CMD_THERMAL_HTR_OFF,0x1019,THERMAL,NOMINAL,Turn off heater zone,1.0
CMD_THERMAL_HTR_AUTO,0x101A,THERMAL,HAZARDOUS,Place heater zone in autonomous control,1.0
CMD_PAYLOAD_IMG_CAPTURE,0x101B,PAYLOAD,NOMINAL,Capture image with integration time and filter,1.0
CMD_PAYLOAD_IMG_ABORT,0x101C,PAYLOAD,HAZARDOUS,Abort current image capture,1.0
CMD_PAYLOAD_INST_ON,0x101D,PAYLOAD,NOMINAL,Power on instrument,1.0
CMD_PAYLOAD_INST_OFF,0x101E,PAYLOAD,NOMINAL,Power off instrument,1.0
CMD_PAYLOAD_INST_CAL,0x101F,PAYLOAD,NOMINAL,Run instrument calibration,1.0
CMD_PROP_VALVE_OPEN,0x1020,PROP,NOMINAL,Open propulsion valve,1.0
CMD_PROP_VALVE_CLOSE,0x1021,PROP,NOMINAL,Close propulsion valve,1.0
CMD_PROP_BURN_EXEC,0x1022,PROP,NOMINAL,Execute commanded delta-v burn,1.0
CMD_PROP_BURN_ABORT,0x1023,PROP,NOMINAL,Abort active propulsive maneuver,1.0
CMD_EPS_PWR_ON_001,0x1024,EPS,NOMINAL,Enable power channel in specified mode (variant 1),1.0
CMD_EPS_PWR_OFF_001,0x1025,EPS,HAZARDOUS,Disable power channel (variant 1),1.0
CMD_EPS_BATT_TRICKLE_001,0x1026,EPS,NOMINAL,Set battery trickle charge rate (variant 1),1.0
CMD_EPS_BATT_RESET_001,0x1027,EPS,NOMINAL,Reset battery management controller (variant 1),1.0
CMD_EPS_SOLAR_DEPLOY_001,0x1028,EPS,NOMINAL,Deploy solar array (variant 1),1.0
CMD_EPS_SOLAR_STOW_001,0x1029,EPS,CRITICAL,Stow solar array (variant 1),1.0
CMD_ADCS_MODE_SET_001,0x102A,ADCS,NOMINAL,Set ADCS control mode (variant 1),1.0
CMD_ADCS_MODE_SAFE_001,0x102B,ADCS,NOMINAL,Command ADCS into SAFE mode (variant 1),1.0
CMD_ADCS_RW_SPIN_001,0x102C,ADCS,HAZARDOUS,Spin reaction wheel to commanded RPM (variant 1),1.0
CMD_ADCS_RW_STOP_001,0x102D,ADCS,CRITICAL,Stop reaction wheel (variant 1),1.0
CMD_ADCS_MTQ_FIRE_001,0x102E,ADCS,NOMINAL,Fire magnetorquer along axis (variant 1),1.0
CMD_ADCS_STAR_TRACK_001,0x102F,ADCS,HAZARDOUS,Begin star tracker tracking (variant 1),1.0
CMD_ADCS_ATT_SLEW_001,0x1030,ADCS,NOMINAL,Slew to commanded inertial attitude quaternion (variant 1),1.0
CMD_COMM_TX_ENABLE_001,0x1031,COMM,CRITICAL,Enable transmitter on band (variant 1),1.0
CMD_COMM_TX_DISABLE_001,0x1032,COMM,NOMINAL,Disable transmitter on band (variant 1),1.0
CMD_COMM_TX_POWER_001,0x1033,COMM,CRITICAL,Set transmitter output power (variant 1),1.0
CMD_COMM_DUMP_START_001,0x1034,COMM,NOMINAL,Start virtual-channel data dump (variant 1),1.0
CMD_COMM_DUMP_STOP_001,0x1035,COMM,CRITICAL,Stop virtual-channel data dump (variant 1),1.0
CMD_CDH_BOOT_WARM_001,0x1036,CDH,NOMINAL,Warm reboot of flight processor (variant 1),1.0
CMD_CDH_BOOT_COLD_001,0x1037,CDH,NOMINAL,Cold reboot of flight processor (variant 1),1.0
CMD_CDH_TIME_SYNC_001,0x1038,CDH,NOMINAL,Sync onboard clock to ground epoch (variant 1),1.0
CMD_CDH_FILE_DELETE_001,0x1039,CDH,NOMINAL,Delete onboard file by path (variant 1),1.0
CMD_CDH_MEM_DUMP_001,0x103A,CDH,NOMINAL,Dump memory region (variant 1),1.0
